inst#,    actual, predicted, error, probability distribution
  7779          ?        1:0      +  *0.999  0.001
  7780          ?        2:1      +   0.193 *0.807
  7781          ?        2:1      +   0.118 *0.882
  7782          ?        1:0      +  *0.999  0.001
  7783          ?        1:0      +  *0.999  0.001
  7784          ?        2:1      +   0.118 *0.882
  7785          ?        1:0      +  *0.999  0.001
  7786          ?        2:1      +   0.193 *0.807
  7787          ?        1:0      +  *0.999  0.001
  7788          ?        1:0      +  *0.999  0.001
  7789          ?        2:1      +   0.193 *0.807
  7790          ?        2:1      +   0.193 *0.807
  7791          ?        2:1      +   0.118 *0.882
  7792          ?        2:1      +   0.118 *0.882
  7793          ?        2:1      +   0.118 *0.882
  7794          ?        1:0      +  *0.999  0.001
  7795          ?        2:1      +   0.193 *0.807
  7796          ?        1:0      +  *0.999  0.001
  7797          ?        1:0      +  *0.999  0.001
  7798          ?        2:1      +   0.193 *0.807
  7799          ?        1:0      +  *0.999  0.001
  7800          ?        1:0      +  *1      0    
  7801          ?        1:0      +  *1      0    
  7802          ?        2:1      +   0.118 *0.882
  7803          ?        1:0      +  *1      0    
  7804          ?        2:1      +   0.118 *0.882
  7805          ?        2:1      +   0.193 *0.807
  7806          ?        2:1      +   0.193 *0.807
  7807          ?        2:1      +   0.193 *0.807
  7808          ?        2:1      +   0.193 *0.807
  7809          ?        1:0      +  *1      0    
  7810          ?        2:1      +   0.118 *0.882
  7811          ?        1:0      +  *0.999  0.001
  7812          ?        2:1      +   0.193 *0.807
  7813          ?        1:0      +  *0.955  0.045
  7814          ?        2:1      +   0.193 *0.807
  7815          ?        2:1      +   0.193 *0.807
  7816          ?        2:1      +   0.118 *0.882
  7817          ?        1:0      +  *0.999  0.001
  7818          ?        1:0      +  *0.999  0.001
  7819          ?        2:1      +   0.118 *0.882
  7820          ?        2:1      +   0.118 *0.882
  7821          ?        2:1      +   0.118 *0.882
  7822          ?        1:0      +  *0.999  0.001
  7823          ?        2:1      +   0.193 *0.807
  7824          ?        1:0      +  *0.999  0.001
  7825          ?        2:1      +   0.193 *0.807
  7826          ?        2:1      +   0.118 *0.882
  7827          ?        2:1      +   0.118 *0.882
  7828          ?        2:1      +   0.193 *0.807
  7829          ?        1:0      +  *0.999  0.001
  7830          ?        2:1      +   0.193 *0.807
  7831          ?        1:0      +  *1      0    
  7832          ?        2:1      +   0.193 *0.807
  7833          ?        2:1      +   0.118 *0.882
  7834          ?        1:0      +  *0.999  0.001
  7835          ?        2:1      +   0.193 *0.807
  7836          ?        1:0      +  *1      0    
  7837          ?        1:0      +  *0.999  0.001
  7838          ?        2:1      +   0.193 *0.807
  7839          ?        2:1      +   0.193 *0.807
  7840          ?        1:0      +  *1      0    
  7841          ?        1:0      +  *1      0    
  7842          ?        2:1      +   0.193 *0.807
  7843          ?        2:1      +   0.193 *0.807
  7844          ?        2:1      +   0.193 *0.807
  7845          ?        1:0      +  *0.999  0.001
  7846          ?        1:0      +  *0.999  0.001
  7847          ?        2:1      +   0.118 *0.882
  7848          ?        1:0      +  *0.999  0.001
  7849          ?        1:0      +  *0.999  0.001
  7850          ?        2:1      +   0.193 *0.807
  7851          ?        1:0      +  *0.955  0.045
  7852          ?        2:1      +   0.193 *0.807
  7853          ?        2:1      +   0.193 *0.807
  7854          ?        1:0      +  *0.955  0.045
  7855          ?        1:0      +  *0.999  0.001
  7856          ?        1:0      +  *0.999  0.001
  7857          ?        2:1      +   0.193 *0.807
  7858          ?        1:0      +  *0.999  0.001
  7859          ?        2:1      +   0.118 *0.882
  7860          ?        2:1      +   0.193 *0.807
  7861          ?        2:1      +   0.193 *0.807
  7862          ?        2:1      +   0.193 *0.807
  7863          ?        2:1      +   0.193 *0.807
  7864          ?        1:0      +  *0.999  0.001
  7865          ?        1:0      +  *1      0    
  7866          ?        1:0      +  *0.999  0.001
  7867          ?        2:1      +   0.193 *0.807
  7868          ?        1:0      +  *0.923  0.077
  7869          ?        1:0      +  *0.999  0.001
  7870          ?        2:1      +   0.193 *0.807
  7871          ?        2:1      +   0.118 *0.882
  7872          ?        1:0      +  *1      0    
  7873          ?        2:1      +   0.193 *0.807
  7874          ?        1:0      +  *0.955  0.045
  7875          ?        1:0      +  *0.999  0.001
  7876          ?        1:0      +  *0.999  0.001
  7877          ?        2:1      +   0.118 *0.882
  7878          ?        1:0      +  *0.999  0.001
  7879          ?        2:1      +   0.193 *0.807
  7880          ?        2:1      +   0.193 *0.807
  7881          ?        1:0      +  *0.923  0.077
  7882          ?        1:0      +  *1      0    
  7883          ?        2:1      +   0.118 *0.882
  7884          ?        1:0      +  *0.999  0.001
  7885          ?        2:1      +   0.193 *0.807
  7886          ?        2:1      +   0.118 *0.882
  7887          ?        2:1      +   0.118 *0.882
  7888          ?        1:0      +  *0.955  0.045
  7889          ?        2:1      +   0.193 *0.807
  7890          ?        2:1      +   0.118 *0.882
  7891          ?        2:1      +   0.193 *0.807
  7892          ?        2:1      +   0.193 *0.807
  7893          ?        1:0      +  *0.999  0.001
  7894          ?        1:0      +  *0.999  0.001
  7895          ?        2:1      +   0.193 *0.807
  7896          ?        1:0      +  *0.999  0.001
  7897          ?        2:1      +   0.193 *0.807
  7898          ?        2:1      +   0.193 *0.807
  7899          ?        1:0      +  *1      0    
  7900          ?        1:0      +  *0.999  0.001
  7901          ?        1:0      +  *1      0    
  7902          ?        2:1      +   0.193 *0.807
  7903          ?        1:0      +  *1      0    
  7904          ?        2:1      +   0.193 *0.807
  7905          ?        2:1      +   0.193 *0.807
  7906          ?        2:1      +   0.193 *0.807
  7907          ?        2:1      +   0.118 *0.882
  7908          ?        1:0      +  *0.999  0.001
  7909          ?        1:0      +  *0.955  0.045
  7910          ?        1:0      +  *0.955  0.045
  7911          ?        2:1      +   0.118 *0.882
  7912          ?        2:1      +   0.193 *0.807
  7913          ?        2:1      +   0.118 *0.882
  7914          ?        1:0      +  *0.999  0.001
  7915          ?        1:0      +  *0.999  0.001
  7916          ?        1:0      +  *0.999  0.001
  7917          ?        1:0      +  *0.999  0.001
  7918          ?        2:1      +   0.193 *0.807
  7919          ?        1:0      +  *0.999  0.001
  7920          ?        1:0      +  *0.923  0.077
  7921          ?        2:1      +   0.118 *0.882
  7922          ?        2:1      +   0.118 *0.882
  7923          ?        2:1      +   0.118 *0.882
  7924          ?        2:1      +   0.193 *0.807
  7925          ?        2:1      +   0.118 *0.882
  7926          ?        1:0      +  *0.999  0.001
  7927          ?        2:1      +   0.118 *0.882
  7928          ?        2:1      +   0.118 *0.882
  7929          ?        1:0      +  *0.999  0.001
  7930          ?        1:0      +  *0.999  0.001
  7931          ?        2:1      +   0.118 *0.882
  7932          ?        2:1      +   0.118 *0.882
  7933          ?        1:0      +  *0.999  0.001
  7934          ?        1:0      +  *1      0    
  7935          ?        1:0      +  *0.999  0.001
  7936          ?        2:1      +   0.118 *0.882
  7937          ?        1:0      +  *0.999  0.001
  7938          ?        2:1      +   0.118 *0.882
  7939          ?        2:1      +   0.118 *0.882
  7940          ?        2:1      +   0.193 *0.807
  7941          ?        2:1      +   0.193 *0.807
  7942          ?        2:1      +   0.193 *0.807
  7943          ?        1:0      +  *0.999  0.001
  7944          ?        2:1      +   0.193 *0.807
  7945          ?        2:1      +   0.118 *0.882
  7946          ?        1:0      +  *0.999  0.001
  7947          ?        2:1      +   0.118 *0.882
  7948          ?        2:1      +   0.118 *0.882
  7949          ?        2:1      +   0.118 *0.882
  7950          ?        2:1      +   0.118 *0.882
  7951          ?        2:1      +   0.118 *0.882
  7952          ?        2:1      +   0.118 *0.882
  7953          ?        2:1      +   0.193 *0.807
  7954          ?        1:0      +  *0.999  0.001
  7955          ?        2:1      +   0.193 *0.807
  7956          ?        2:1      +   0.193 *0.807
  7957          ?        2:1      +   0.193 *0.807
  7958          ?        1:0      +  *1      0    
  7959          ?        1:0      +  *0.999  0.001
  7960          ?        1:0      +  *0.999  0.001
  7961          ?        2:1      +   0.193 *0.807
  7962          ?        1:0      +  *1      0    
  7963          ?        1:0      +  *0.999  0.001
  7964          ?        2:1      +   0.193 *0.807
  7965          ?        2:1      +   0.193 *0.807
  7966          ?        1:0      +  *0.999  0.001
  7967          ?        2:1      +   0.193 *0.807
  7968          ?        2:1      +   0.193 *0.807
  7969          ?        1:0      +  *0.999  0.001
  7970          ?        2:1      +   0.193 *0.807
  7971          ?        1:0      +  *0.999  0.001
  7972          ?        2:1      +   0.193 *0.807
  7973          ?        2:1      +   0.193 *0.807
  7974          ?        1:0      +  *1      0    
  7975          ?        2:1      +   0.118 *0.882
  7976          ?        1:0      +  *0.999  0.001
  7977          ?        2:1      +   0.118 *0.882
  7978          ?        2:1      +   0.118 *0.882
  7979          ?        2:1      +   0.193 *0.807
  7980          ?        2:1      +   0.193 *0.807
  7981          ?        1:0      +  *1      0    
  7982          ?        2:1      +   0.118 *0.882
  7983          ?        1:0      +  *1      0    
  7984          ?        1:0      +  *0.999  0.001
  7985          ?        2:1      +   0.193 *0.807
  7986          ?        1:0      +  *0.999  0.001
  7987          ?        2:1      +   0.118 *0.882
  7988          ?        2:1      +   0.118 *0.882
  7989          ?        1:0      +  *0.999  0.001
  7990          ?        1:0      +  *1      0    
  7991          ?        2:1      +   0.193 *0.807
  7992          ?        2:1      +   0.118 *0.882
  7993          ?        2:1      +   0.193 *0.807
  7994          ?        2:1      +   0.193 *0.807
  7995          ?        1:0      +  *0.999  0.001
  7996          ?        2:1      +   0.193 *0.807
  7997          ?        2:1      +   0.193 *0.807
  7998          ?        1:0      +  *1      0    
  7999          ?        1:0      +  *1      0    
  8000          ?        2:1      +   0.118 *0.882
  8001          ?        2:1      +   0.193 *0.807
  8002          ?        2:1      +   0.118 *0.882
  8003          ?        2:1      +   0.118 *0.882
  8004          ?        1:0      +  *0.999  0.001
  8005          ?        2:1      +   0.193 *0.807
  8006          ?        1:0      +  *0.955  0.045
  8007          ?        1:0      +  *0.999  0.001
  8008          ?        1:0      +  *0.999  0.001
  8009          ?        1:0      +  *0.999  0.001
  8010          ?        1:0      +  *1      0    
  8011          ?        2:1      +   0.193 *0.807
  8012          ?        2:1      +   0.118 *0.882
  8013          ?        2:1      +   0.118 *0.882
  8014          ?        1:0      +  *1      0    
  8015          ?        2:1      +   0.193 *0.807
  8016          ?        2:1      +   0.193 *0.807
  8017          ?        2:1      +   0.118 *0.882
  8018          ?        2:1      +   0.193 *0.807
